Holdings details

Total Stock Market ETF (VTI)


Equity,as of 09/30/2025

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BMV3LG4,AppLovin Corp,APP,0.27%,Application Software,US,---,"$5,564,829,314.36","7,744,634"
,BDRXDB4,Booking Holdings Inc,BKNG,0.27%,"Hotels, Resorts & Cruise Lines",US,---,"$5,504,658,351.13","1,019,519"
,BSML4N7,Lam Research Corp,LRCX,0.26%,Semiconductor Materials & Equipment,US,---,"$5,332,415,121.80","39,823,862"
,2297907,Citigroup Inc,C,0.26%,Diversified Banks,US,---,"$5,288,730,783.00","52,105,722"
,BP6H4Y1,GE Vernova Inc,GEV,0.26%,Heavy Electrical Equipment,US,---,"$5,269,124,832.40","8,569,076"
,2885409,Texas Instruments Inc,TXN,0.26%,Semiconductors,US,---,"$5,256,005,265.52","28,607,224"
,2090571,Verizon Communications Inc,VZ,0.26%,Integrated Telecommunication Services,US,---,"$5,246,545,094.25","119,375,315"
,2779397,Charles Schwab Corp/The,SCHW,0.26%,Investment Banking & Brokerage,US,---,"$5,180,409,942.72","54,262,176"
,2108601,Boeing Co/The,BA,0.25%,Aerospace & Defense,US,---,"$5,136,769,755.59","23,800,073"
,2046552,Applied Materials Inc,AMAT,0.25%,Semiconductor Materials & Equipment,US,---,"$5,132,379,938.82","25,067,793"
,BMZBBT7,Blackrock Inc,BLK,0.25%,Asset Management & Custody Banks,US,---,"$5,113,280,807.09","4,385,807"
,2026082,American Express Co,AXP,0.25%,Consumer Finance,US,---,"$5,091,432,184.32","15,328,252"
,2989301,TJX Cos Inc/The,TJX,0.25%,Apparel Retail,US,---,"$5,070,492,397.08","35,080,202"
,2871301,Intuitive Surgical Inc,ISRG,0.25%,Health Care Equipment,US,---,"$5,044,683,737.66","11,279,842"
,2328915,NextEra Energy Inc,NEE,0.24%,Electric Utilities,US,---,"$4,947,211,030.46","65,534,654"
,B4BNMY3,Accenture PLC,ACN,0.24%,IT Consulting & Other Services,US,---,"$4,833,121,044.60","19,599,031"
,BYV2325,S&P Global Inc,SPGI,0.24%,Financial Exchanges & Data,US,---,"$4,785,251,926.14","9,831,834"
,2023607,Amgen Inc,AMGN,0.24%,Biotechnology,US,---,"$4,782,359,868.80","16,946,704"
,2145084,Amphenol Corp,APH,0.23%,Electronic Components,US,---,"$4,754,953,046.25","38,423,863"
,2008154,Adobe Inc,ADBE,0.23%,Application Software,US,---,"$4,707,111,873.75","13,344,045"
,BL9XPM3,Arista Networks Inc,ANET,0.23%,Communications Equipment,US,---,"$4,611,327,063.03","31,647,293"
,B8KQN82,Eaton Corp PLC,ETN,0.23%,Electrical Components & Equipment,US,---,"$4,585,222,677.00","12,251,764"
,2684703,Pfizer Inc,PFE,0.23%,Pharmaceuticals,US,---,"$4,559,256,181.48","178,934,701"
,2705024,Progressive Corp/The,PGR,0.22%,Property & Casualty Insurance,US,---,"$4,555,223,401.30","18,445,934"
,2113434,Boston Scientific Corp,BSX,0.22%,Health Care Equipment,US,---,"$4,551,270,332.57","46,617,539"
,2480138,KLA Corp,KLAC,0.22%,Semiconductor Materials & Equipment,US,---,"$4,478,602,828.20","4,152,237"
,2536763,Lowe's Cos Inc,LOW,0.22%,Home Improvement Retail,US,---,"$4,429,587,044.28","17,625,988"
,2914734,Union Pacific Corp,UNP,0.22%,Rail Transportation,US,---,"$4,408,459,104.27","18,650,671"
,2369174,Gilead Sciences Inc,GILD,0.21%,Biotechnology,US,---,"$4,335,955,482.00","39,062,662"
,2654461,Capital One Financial Corp,COF,0.21%,Consumer Finance,US,---,"$4,277,757,543.84","20,123,048"
,B87ZMX0,Palo Alto Networks Inc,PANW,0.21%,Systems Software,US,---,"$4,272,801,989.52","20,984,196"
,2020459,Honeywell International Inc,HON,0.21%,Industrial Conglomerates,US,---,"$4,205,440,359.50","19,978,339"
,2463247,Intel Corp,INTC,0.21%,Semiconductors,US,---,"$4,174,843,333.65","124,436,463"
,2250870,Danaher Corp,DHR,0.20%,Life Sciences Tools & Services,US,---,"$4,020,572,828.44","20,279,294"
,2853688,Stryker Corp,SYK,0.20%,Health Care Equipment,US,---,"$4,000,555,801.55","10,821,965"
,BKF2SL7,Blackstone Inc,BX,0.20%,Asset Management & Custody Banks,US,---,"$3,963,686,855.10","23,199,806"
,BTN1Y11,Medtronic PLC,MDT,0.19%,Health Care Equipment,US,---,"$3,843,006,858.60","40,350,765"
,2032067,Analog Devices Inc,ADI,0.19%,Semiconductors,US,---,"$3,803,305,041.90","15,479,467"
,BYVYHH4,Welltower Inc,WELL,0.19%,Health Care REITs,US,---,"$3,750,756,226.56","21,055,104"
,2065308,Automatic Data Processing Inc,ADP,0.18%,Human Resource & Employment Services,US,---,"$3,739,855,658.00","12,742,268"
,2685717,ConocoPhillips,COP,0.18%,Oil & Gas Exploration & Production,US,---,"$3,717,343,299.42","39,299,538"
,2261203,Deere & Co,DE,0.18%,Agricultural & Farm Machinery,US,---,"$3,702,511,039.68","8,097,168"
,2522096,Lockheed Martin Corp,LMT,0.18%,Aerospace & Defense,US,---,"$3,666,965,525.77","7,345,537"
,BJJP138,Crowdstrike Holdings Inc,CRWD,0.18%,Systems Software,US,---,"$3,653,714,477.16","7,450,782"
,2044545,Comcast Corp,CMCSA,0.18%,Cable & Satellite,US,---,"$3,637,481,711.76","115,769,628"
,2692632,Altria Group Inc,MO,0.17%,Tobacco,US,---,"$3,492,078,187.14","52,862,219"
,BP0TQN6,Robinhood Markets Inc,HOOD,0.17%,Investment Banking & Brokerage,US,---,"$3,488,075,847.32","24,361,474"
,B94Q9V0,T-Mobile US Inc,TMUS,0.17%,Wireless Telecommunication Services,US,---,"$3,392,148,892.18","14,170,561"
,B3BQMF6,Chubb Ltd,CB,0.17%,Property & Casualty Insurance,US,---,"$3,361,425,892.00","11,909,392"
,B44WZD7,Prologis Inc,PLD,0.16%,Industrial REITs,US,---,"$3,338,160,199.92","29,149,146"
,2829601,Southern Co/The,SO,0.16%,Electric Utilities,US,---,"$3,280,432,370.67","34,614,671"
,BMH4FS1,Constellation Energy Corp,CEG,0.16%,Electric Utilities,US,---,"$3,236,036,866.02","9,833,886"
,2931034,Vertex Pharmaceuticals Inc,VRTX,0.16%,Biotechnology,US,---,"$3,161,896,532.28","8,073,477"
,2567741,Marsh & McLennan Cos Inc,MMC,0.15%,Insurance Brokers,US,---,"$3,117,977,843.96","15,471,532"
,2965839,CME Group Inc,CME,0.15%,Financial Exchanges & Data,US,---,"$3,065,406,871.25","11,345,375"
,BFSSDS9,Intercontinental Exchange Inc,ICE,0.15%,Financial Exchanges & Data,US,---,"$3,034,263,136.32","18,009,634"
,2842255,Starbucks Corp,SBUX,0.15%,Restaurants,US,---,"$3,025,872,210.60","35,766,811"
,B7VD3F2,Duke Energy Corp,DUK,0.15%,Electric Utilities,US,---,"$3,024,785,115.00","24,442,708"
,2378534,McKesson Corp,MCK,0.15%,Health Care Distributors,US,---,"$3,022,103,088.70","3,911,905"
,2671501,Parker-Hannifin Corp,PH,0.15%,Industrial Machinery & Supplies & Components,US,---,"$3,021,002,579.45","3,984,703"
,2302232,Cadence Design Systems Inc,CDNS,0.15%,Application Software,US,---,"$3,012,303,543.34","8,575,709"
,2577609,CVS Health Corp,CVS,0.15%,Health Care Services,US,---,"$3,008,610,593.10","39,907,290"
,BK9ZQ96,Trane Technologies PLC,TT,0.15%,Building Products,US,---,"$2,953,068,493.76","6,998,456"
,2636607,Newmont Corp,NEM,0.14%,Gold,US,---,"$2,915,138,054.51","34,576,421"
,BN13P03,DoorDash Inc,DASH,0.14%,Restaurants,US,---,"$2,901,513,434.79","10,667,721"
,2126335,Bristol-Myers Squibb Co,BMY,0.14%,Pharmaceuticals,US,---,"$2,890,285,725.80","64,086,158"
,B65LWX6,O'Reilly Automotive Inc,ORLY,0.14%,Automotive Retail,US,---,"$2,878,564,733.50","26,700,350"
,2867719,Synopsys Inc,SNPS,0.14%,Application Software,US,---,"$2,873,476,716.94","5,823,946"
,B7FBFL2,American Tower Corp,AMT,0.14%,Telecom Tower REITs,US,---,"$2,834,590,056.00","14,738,925"
,2937667,Waste Management Inc,WM,0.14%,Environmental & Facilities Services,US,---,"$2,797,506,902.01","12,668,147"
,2648806,Northrop Grumman Corp,NOC,0.14%,Aerospace & Defense,US,---,"$2,745,800,042.20","4,506,335"
,BG1FRR1,KKR & Co Inc,KKR,0.13%,Asset Management & Custody Banks,US,---,"$2,733,541,003.55","21,035,329"
,2974329,Strategy Inc,MSTR,0.13%,Application Software,US,---,"$2,676,137,709.70","8,305,570"
,BMWBC20,ROBLOX Corp,RBLX,0.13%,Interactive Home Entertainment,US,---,"$2,672,613,052.68","19,294,059"
,2640147,NIKE Inc,NKE,0.13%,Footwear,US,---,"$2,607,329,935.08","37,391,796"
,2595708,3M Co,MMM,0.13%,Industrial Conglomerates,US,---,"$2,601,578,423.44","16,764,908"
,2365161,General Dynamics Corp,GD,0.13%,Aerospace & Defense,US,---,"$2,595,101,388.00","7,610,268"
,B8CKK03,Mondelez International Inc,MDLZ,0.13%,Packaged Foods & Meats,US,---,"$2,545,036,795.68","40,740,144"
,B01ZKD6,CRH PLC,CRH,0.13%,Construction Materials,US,---,"$2,537,502,930.60","21,163,494"
,2359506,Arthur J Gallagher & Co,AJG,0.12%,Insurance Brokers,US,---,"$2,501,723,209.26","8,076,849"
,BKLJ8V2,Howmet Aerospace Inc,HWM,0.12%,Aerospace & Defense,US,---,"$2,490,151,047.03","12,689,961"
,2754907,Royal Caribbean Cruises Ltd,RCL,0.12%,"Hotels, Resorts & Cruise Lines",US,---,"$2,489,731,948.56","7,694,332"
,2692665,PNC Financial Services Group Inc/The,PNC,0.12%,Diversified Banks,US,---,"$2,485,028,297.76","12,367,632"
,2804211,Sherwin-Williams Co/The,SHW,0.12%,Specialty Chemicals,US,---,"$2,444,153,425.98","7,058,723"
,2967181,Williams Cos Inc/The,WMB,0.12%,Oil & Gas Storage & Transportation,US,---,"$2,434,601,506.05","38,430,963"
,BHJ0775,Cigna Group/The,CI,0.12%,Health Care Services,US,---,"$2,420,262,588.25","8,396,401"
,B1Z77F6,Bank of New York Mellon Corp/The,BK,0.12%,Asset Management & Custody Banks,US,---,"$2,417,344,828.32","22,185,617"
,BVLZX12,Equinix Inc,EQIX,0.12%,Data Center REITs,US,---,"$2,412,311,058.12","3,079,913"
,B5BKPQ4,Motorola Solutions Inc,MSI,0.12%,Communications Equipment,US,---,"$2,395,935,743.67","5,239,423"
,2736035,US Bancorp,USB,0.12%,Diversified Banks,US,---,"$2,362,783,089.87","48,888,539"
,B11FJK3,TransDigm Group Inc,TDG,0.12%,Aerospace & Defense,US,---,"$2,337,014,212.50","1,773,125"
,2313405,Emerson Electric Co,EMR,0.11%,Electrical Components & Equipment,US,---,"$2,323,498,989.28","17,712,296"
,BLP1HW5,Aon PLC,AON,0.11%,Insurance Brokers,US,---,"$2,300,821,752.60","6,452,470"
,BSPHGL4,Elevance Health Inc,ELV,0.11%,Managed Health Care,US,---,"$2,290,089,735.36","7,087,428"
,BMC9P69,Coinbase Global Inc,COIN,0.11%,Financial Exchanges & Data,US,---,"$2,282,237,651.14","6,762,386"
,BNKJSM5,Marvell Technology Inc,MRVL,0.11%,Semiconductors,US,---,"$2,281,526,380.91","27,138,413"
,2252058,Moody's Corp,MCO,0.11%,Financial Exchanges & Data,US,---,"$2,279,800,991.04","4,784,673"
,2457552,Illinois Tool Works Inc,ITW,0.11%,Industrial Machinery & Supplies & Components,US,---,"$2,266,234,911.84","8,690,884"
,BY7QL61,Johnson Controls International plc,JCI,0.11%,Building Products,US,---,"$2,262,981,224.40","20,581,912"
