Holdings details

Total Stock Market ETF (VTI)


Equity,as of 09/30/2025

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BYVZ186,Cleveland-Cliffs Inc,CLF,<0.01%,Steel,US,---,"$191,473,119.60","15,694,518"
,2590930,Middleby Corp/The,MIDD,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$191,459,743.65","1,440,305"
,B1HHB18,KBR Inc,KBR,<0.01%,Research & Consulting Services,US,---,"$191,202,124.07","4,043,183"
,BNNTGF1,GXO Logistics Inc,GXO,<0.01%,Air Freight & Logistics,US,---,"$191,077,078.14","3,612,726"
,BDT5M66,Construction Partners Inc,ROAD,<0.01%,Construction & Engineering,US,---,"$189,848,871.00","1,494,873"
,BRJ9GW0,Rithm Capital Corp,RITM,<0.01%,Mortgage REITs,US,---,"$189,050,354.36","16,597,924"
,BMF5Q83,FirstCash Holdings Inc,FCFS,<0.01%,Consumer Finance,US,---,"$188,648,120.20","1,190,810"
,BSNMNQ5,Paramount Skydance Corp,PSKY,<0.01%,Broadcasting,US,---,"$187,875,410.80","9,929,990"
,BRBD9F4,Cava Group Inc,CAVA,<0.01%,Restaurants,US,---,"$187,768,778.40","3,108,240"
,B0VLLY2,Uranium Energy Corp,UEC,<0.01%,Coal & Consumable Fuels,US,---,"$187,558,198.90","14,059,835"
,BMWHPY1,Avidity Biosciences Inc,RNA,<0.01%,Biotechnology,US,---,"$187,435,220.81","4,301,933"
,BRT46K3,Lazard Inc,LAZ,<0.01%,Investment Banking & Brokerage,US,---,"$187,424,207.88","3,551,046"
,BMTVT22,Gitlab Inc,GTLB,<0.01%,Systems Software,US,---,"$187,401,256.56","4,157,082"
,2120490,Casella Waste Systems Inc,CWST,<0.01%,Environmental & Facilities Services,US,---,"$185,856,162.40","1,958,855"
,2310257,Prosperity Bancshares Inc,PB,<0.01%,Regional Banks,US,---,"$185,790,815.05","2,800,163"
,BFWGXR8,Essent Group Ltd,ESNT,<0.01%,Commercial & Residential Mortgage Finance,US,---,"$185,777,108.72","2,922,862"
,2707826,TXNM Energy Inc,TXNM,<0.01%,Electric Utilities,US,---,"$185,562,321.75","3,281,385"
,2601218,Moog Inc,MOG/A,<0.01%,Aerospace & Defense,US,---,"$185,419,820.86","892,858"
,BFFK0X2,Essential Properties Realty Trust Inc,EPRT,<0.01%,Diversified REITs,US,---,"$184,896,231.36","6,212,911"
,B3N4753,Terreno Realty Corp,TRNO,<0.01%,Industrial REITs,US,---,"$184,862,841.25","3,257,495"
,2020415,Hanover Insurance Group Inc/The,THG,<0.01%,Property & Casualty Insurance,US,---,"$184,606,189.18","1,016,386"
,B081VR8,Morningstar Inc,MORN,<0.01%,Financial Exchanges & Data,US,---,"$184,350,969.82","794,582"
,2206721,Coca-Cola Consolidated Inc,COKE,<0.01%,Soft Drinks & Non-alcoholic Beverages,US,---,"$184,264,444.44","1,572,759"
,2227089,Piper Sandler Cos,PIPR,<0.01%,Investment Banking & Brokerage,US,---,"$184,048,006.87","530,413"
,B92RRW2,Sanmina Corp,SANM,<0.01%,Electronic Manufacturing Services,US,---,"$183,739,617.99","1,596,209"
,BFD1TJ6,Resideo Technologies Inc,REZI,<0.01%,Building Products,US,---,"$183,511,804.68","4,249,926"
,BJ1C2K1,Element Solutions Inc,ESI,<0.01%,Specialty Chemicals,US,---,"$182,632,764.90","7,255,970"
,BYQ7X81,SiteOne Landscape Supply Inc,SITE,<0.01%,Trading Companies & Distributors,US,---,"$182,507,796.80","1,416,986"
,BJSP4C9,Installed Building Products Inc,IBP,<0.01%,Homebuilding,US,---,"$181,418,183.34","735,499"
,BLDBS68,SoundHound AI Inc,SOUN,<0.01%,Application Software,US,---,"$181,136,279.52","11,264,694"
,2041308,FNB Corp/PA,FNB,<0.01%,Regional Banks,US,---,"$180,948,776.58","11,232,078"
,B2Q8249,Graphic Packaging Holding Co,GPK,<0.01%,Paper & Plastic Packaging Products & Materials,US,---,"$180,754,978.10","9,236,330"
,2012605,Alaska Air Group Inc,ALK,<0.01%,Passenger Airlines,US,---,"$180,734,453.92","3,630,664"
,BYN7H48,Appfolio Inc,APPF,<0.01%,Application Software,US,---,"$179,735,006.22","652,017"
,BLDDYB1,Chord Energy Corp,CHRD,<0.01%,Oil & Gas Exploration & Production,US,---,"$179,550,261.82","1,806,886"
,2719070,RLI Corp,RLI,<0.01%,Property & Casualty Insurance,US,---,"$179,469,591.54","2,751,757"
,2471949,Itron Inc,ITRI,<0.01%,Electronic Equipment & Instruments,US,---,"$178,987,114.80","1,436,955"
,2121352,Group 1 Automotive Inc,GPI,<0.01%,Automotive Retail,US,---,"$178,312,888.13","407,563"
,BP7L1B8,SentinelOne Inc,S,<0.01%,Systems Software,US,---,"$177,881,744.58","10,101,178"
,2928683,VF Corp,VFC,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$177,837,599.94","12,324,158"
,BMDH249,Lumen Technologies Inc,LUMN,<0.01%,Alternative Carriers,US,---,"$177,833,387.16","29,057,743"
,2949758,Nexstar Media Group Inc,NXST,<0.01%,Broadcasting,US,---,"$177,521,875.96","897,754"
,B5B82X4,Hyatt Hotels Corp,H,<0.01%,"Hotels, Resorts & Cruise Lines",US,---,"$177,434,783.01","1,250,157"
,2370585,Glacier Bancorp Inc,GBCI,<0.01%,Regional Banks,US,---,"$176,899,680.92","3,634,676"
,2635659,TTM Technologies Inc,TTMI,<0.01%,Electronic Manufacturing Services,US,---,"$175,973,760.00","3,055,100"
,B03L311,Ormat Technologies Inc,ORA,<0.01%,Renewable Electricity,US,---,"$175,796,775.00","1,826,460"
,2535243,Louisiana-Pacific Corp,LPX,<0.01%,Forest Products,US,---,"$175,298,288.44","1,973,191"
,2954194,Vail Resorts Inc,MTN,<0.01%,Leisure Facilities,US,---,"$175,004,079.36","1,170,048"
,BV97X10,Galaxy Digital Inc,GLXY,<0.01%,Asset Management & Custody Banks,US,---,"$174,985,041.21","5,175,541"
,2483074,Trex Co Inc,TREX,<0.01%,Building Products,US,---,"$174,927,854.94","3,385,482"
,BYPZJQ6,Janus Henderson Group PLC,JHG,<0.01%,Asset Management & Custody Banks,US,---,"$174,028,447.23","3,909,873"
,2101967,SLM Corp,SLM,<0.01%,Consumer Finance,US,---,"$173,689,840.96","6,274,922"
,BYT4ST5,iRhythm Technologies Inc,IRTC,<0.01%,Health Care Equipment,US,---,"$173,535,502.14","1,008,986"
,2321583,ESCO Technologies Inc,ESE,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$173,238,765.99","820,609"
,BG0T321,Dropbox Inc,DBX,<0.01%,Application Software,US,---,"$173,180,728.23","5,732,563"
,BZ56Q65,Bank OZK,OZK,<0.01%,Regional Banks,US,---,"$172,384,740.62","3,381,419"
,BNNTGJ5,Bath & Body Works Inc,BBWI,<0.01%,Other Specialty Retail,US,---,"$172,017,861.12","6,677,712"
,2881407,Teleflex Inc,TFX,<0.01%,Health Care Equipment,US,---,"$170,944,506.32","1,397,062"
,2572303,Mattel Inc,MAT,<0.01%,Leisure Products,US,---,"$170,693,882.37","10,142,239"
,BMG3PQ7,Mirion Technologies Inc,MIR,<0.01%,Electronic Equipment & Instruments,US,---,"$170,664,807.16","7,337,266"
,2675860,Pegasystems Inc,PEGA,<0.01%,Application Software,US,---,"$170,540,975.00","2,965,930"
,BYNQ369,Albertsons Cos Inc,ACI,<0.01%,Food Retail,US,---,"$170,310,542.23","9,726,473"
,B8383P2,WEX Inc,WEX,<0.01%,Transaction & Payment Processing Services,US,---,"$169,346,010.24","1,075,008"
,2889155,ACI Worldwide Inc,ACIW,<0.01%,Application Software,US,---,"$169,300,091.28","3,208,264"
,BNDXX18,Primo Brands Corp,PRMB,<0.01%,Soft Drinks & Non-alcoholic Beverages,US,---,"$169,068,801.20","7,650,172"
,BMWWGB0,Caesars Entertainment Inc,CZR,<0.01%,Casinos & Gaming,US,---,"$169,057,292.73","6,255,589"
,2193544,Brinker International Inc,EAT,<0.01%,Restaurants,US,---,"$168,681,387.40","1,331,555"
,B570P91,Lear Corp,LEA,<0.01%,Automotive Parts & Equipment,US,---,"$168,466,012.06","1,674,446"
,BP4CXL8,CCC Intelligent Solutions Holdings Inc,CCCS,<0.01%,Application Software,US,---,"$167,872,584.57","18,427,287"
,B8QV5C9,Ryman Hospitality Properties Inc,RHP,<0.01%,Hotel & Resort REITs,US,---,"$167,852,688.35","1,873,565"
,BZ12TX5,Adtalem Global Education Inc,ATGE,<0.01%,Education Services,US,---,"$167,061,614.75","1,081,655"
,BF0SR29,Hamilton Lane Inc,HLNE,<0.01%,Asset Management & Custody Banks,US,---,"$166,646,268.60","1,236,340"
,BMHVDS8,Archer Aviation Inc,ACHR,<0.01%,Aerospace & Defense,US,---,"$166,444,328.26","17,374,147"
,B1JNG19,RadNet Inc,RDNT,<0.01%,Health Care Services,US,---,"$166,410,555.59","2,183,579"
,BLG38Q1,Moelis & Co,MC,<0.01%,Investment Banking & Brokerage,US,---,"$166,160,979.40","2,329,795"
,2069128,Badger Meter Inc,BMI,<0.01%,Electronic Equipment & Instruments,US,---,"$165,752,420.02","928,169"
,2905794,United Bankshares Inc/WV,UBSI,<0.01%,Regional Banks,US,---,"$165,288,829.34","4,442,054"
,2889876,Thor Industries Inc,THO,<0.01%,Automobile Manufacturers,US,---,"$165,119,896.22","1,592,438"
,BMD02L5,UiPath Inc,PATH,<0.01%,Systems Software,US,---,"$165,029,535.48","12,334,046"
,2351449,FTI Consulting Inc,FCN,<0.01%,Research & Consulting Services,US,---,"$164,964,956.55","1,020,507"
,BNXH3Z4,Confluent Inc,CFLT,<0.01%,Application Software,US,---,"$164,782,233.00","8,322,335"
,BYZR4X4,Axsome Therapeutics Inc,AXSM,<0.01%,Pharmaceuticals,US,---,"$164,557,098.65","1,354,937"
,BNZJHY5,Clearwater Analytics Holdings Inc,CWAN,<0.01%,Application Software,US,---,"$163,979,765.52","9,099,876"
,2360326,Gap Inc/The,GAP,<0.01%,Apparel Retail,US,---,"$163,835,271.87","7,659,433"
,B828K63,TG Therapeutics Inc,TGTX,<0.01%,Biotechnology,US,---,"$163,680,604.88","4,530,951"
,2098508,Bio-Rad Laboratories Inc,BIO,<0.01%,Life Sciences Tools & Services,US,---,"$163,412,413.56","582,804"
,BMQ60Q1,UFP Industries Inc,UFPI,<0.01%,Building Products,US,---,"$163,378,729.97","1,747,553"
,2018669,Maximus Inc,MMS,<0.01%,Data Processing & Outsourced Services,US,---,"$163,041,084.85","1,784,405"
,BQXKDH6,Centrus Energy Corp,LEU,<0.01%,Coal & Consumable Fuels,US,---,"$162,821,167.77","525,111"
,2232793,Sealed Air Corp,SEE,<0.01%,Paper & Plastic Packaging Products & Materials,US,---,"$162,820,968.80","4,605,968"
,BMCNFN8,Applied Digital Corp,APLD,<0.01%,Internet Services & Infrastructure,US,---,"$161,207,707.22","7,027,363"
,BPGN2Q7,ServiceTitan Inc,TTAN,<0.01%,Application Software,US,---,"$160,520,049.21","1,591,987"
,BRS6600,Boot Barn Holdings Inc,BOOT,<0.01%,Apparel Retail,US,---,"$160,476,287.76","968,358"
,BFZ9DB8,Atlantic Union Bankshares Corp,AUB,<0.01%,Regional Banks,US,---,"$160,083,450.83","4,536,227"
,2831888,Southwest Gas Holdings Inc,SWX,<0.01%,Gas Utilities,US,---,"$159,777,406.92","2,039,538"
,2415497,Hancock Whitney Corp,HWC,<0.01%,Regional Banks,US,---,"$158,342,943.96","2,529,036"
,B7MSLL8,Matador Resources Co,MTDR,<0.01%,Oil & Gas Exploration & Production,US,---,"$158,138,728.17","3,519,669"
,2495529,Kilroy Realty Corp,KRC,<0.01%,Office REITs,US,---,"$158,108,245.75","3,742,207"
,B17MTL9,Home BancShares Inc/AR,HOMB,<0.01%,Regional Banks,US,---,"$157,801,932.00","5,576,040"
,2416779,Hexcel Corp,HXL,<0.01%,Aerospace & Defense,US,---,"$157,763,294.70","2,516,161"
,2935326,Valley National Bancorp,VLY,<0.01%,Regional Banks,US,---,"$156,762,859.40","14,788,949"
,BLF0L75,Shift4 Payments Inc,FOUR,<0.01%,Transaction & Payment Processing Services,US,---,"$156,483,063.00","2,021,745"
,B6T0518,Post Holdings Inc,POST,<0.01%,Packaged Foods & Meats,US,---,"$156,417,148.72","1,455,314"
,B3P6D26,Alkermes PLC,ALKS,<0.01%,Biotechnology,US,---,"$156,405,150.00","5,213,505"
,BLNN369,Weatherford International PLC,WFRD,<0.01%,Oil & Gas Equipment & Services,US,---,"$156,259,699.71","2,283,497"
,BN70TG2,Core Scientific Inc,CORZ,<0.01%,Application Software,US,---,"$156,182,428.74","8,705,821"
,BTNMGM9,Ralliant Corp,RAL,<0.01%,Electronic Equipment & Instruments,US,---,"$155,840,426.08","3,563,696"
,BL96T19,Opendoor Technologies Inc,OPEN,<0.01%,Real Estate Services,US,---,"$155,672,877.32","19,532,356"
,BN2RYW9,NOV Inc,NOV,<0.01%,Oil & Gas Equipment & Services,US,---,"$155,380,921.50","11,726,862"
,2766173,Selective Insurance Group Inc,SIGI,<0.01%,Property & Casualty Insurance,US,---,"$155,299,880.89","1,915,627"
,BKDS4H5,BILL Holdings Inc,BILL,<0.01%,Application Software,US,---,"$155,274,245.14","2,931,362"
,2580555,Merit Medical Systems Inc,MMSI,<0.01%,Health Care Supplies,US,---,"$155,224,615.84","1,865,008"
,2601326,Meritage Homes Corp,MTH,<0.01%,Homebuilding,US,---,"$154,917,774.66","2,138,862"
,BFYF094,Frontdoor Inc,FTDR,<0.01%,Specialized Consumer Services,US,---,"$154,864,772.37","2,301,453"
,BP0VMC3,U-Haul Holding Co,UHAL/B,<0.01%,Cargo Ground Transportation,US,---,"$154,520,438.50","3,035,765"
,B17VCN9,PTC Therapeutics Inc,PTCT,<0.01%,Biotechnology,US,---,"$154,070,366.92","2,510,516"
,2173911,Radian Group Inc,RDN,<0.01%,Commercial & Residential Mortgage Finance,US,---,"$153,292,746.96","4,232,268"
,2072074,Balchem Corp,BCPC,<0.01%,Specialty Chemicals,US,---,"$153,084,909.48","1,020,158"
,BJ0KXV4,ONE Gas Inc,OGS,<0.01%,Gas Utilities,US,---,"$152,927,793.18","1,889,397"
,BJP0MF6,Cousins Properties Inc,CUZ,<0.01%,Office REITs,US,---,"$152,606,176.48","5,273,192"
,BPBSZJ1,Kite Realty Group Trust,KRG,<0.01%,Retail REITs,US,---,"$152,018,564.80","6,816,976"
,2630513,New Jersey Resources Corp,NJR,<0.01%,Gas Utilities,US,---,"$151,910,601.75","3,154,945"
,2038849,Ameris Bancorp,ABCB,<0.01%,Regional Banks,US,---,"$151,819,438.44","2,070,924"
,2855855,Asbury Automotive Group Inc,ABG,<0.01%,Automotive Retail,US,---,"$151,759,449.00","620,820"
,B125XQ6,Portland General Electric Co,POR,<0.01%,Electric Utilities,US,---,"$151,755,604.00","3,448,991"
,2117232,Boyd Gaming Corp,BYD,<0.01%,Casinos & Gaming,US,---,"$151,432,822.45","1,751,681"
,2951292,Enpro Inc,NPO,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$151,346,098.00","669,673"
,BMC73Z8,QuantumScape Corp,QS,<0.01%,Automotive Parts & Equipment,US,---,"$150,285,520.00","12,198,500"
,B7XJTN8,Qualys Inc,QLYS,<0.01%,Systems Software,US,---,"$150,208,444.65","1,135,105"
,2381189,Granite Construction Inc,GVA,<0.01%,Construction & Engineering,US,---,"$150,157,231.95","1,369,423"
,BPLYVR9,Liberty Media Corp-Liberty Live,LLYVK,<0.01%,Movies & Entertainment,US,---,"$149,982,335.36","1,546,688"
,BKPVGH6,Vaxcyte Inc,PCVX,<0.01%,Biotechnology,US,---,"$149,785,568.00","4,158,400"
,2892807,Timken Co/The,TKR,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$149,388,749.58","1,987,081"
,B01WL78,Belden Inc,BDC,<0.01%,Electronic Components,US,---,"$149,358,983.28","1,241,864"
,2898087,DaVita Inc,DVA,<0.01%,Health Care Services,US,---,"$148,604,332.53","1,118,419"
,BLGJ610,Warner Music Group Corp,WMG,<0.01%,Movies & Entertainment,US,---,"$148,558,446.14","4,361,669"
,BYYGJZ9,Impinj Inc,PI,<0.01%,Semiconductors,US,---,"$148,523,178.75","821,705"
,BTTRKN7,CoreWeave Inc,CRWV,<0.01%,Internet Services & Infrastructure,US,---,"$148,438,594.85","1,084,681"
,BFWCP81,ADT Inc,ADT,<0.01%,Specialized Consumer Services,US,---,"$147,724,735.60","16,960,360"
,BDTZZG7,Science Applications International Corp,SAIC,<0.01%,Research & Consulting Services,US,---,"$147,235,734.04","1,481,692"
,BMD6Y84,Rocket Cos Inc,RKT,<0.01%,Commercial & Residential Mortgage Finance,US,---,"$146,974,935.48","7,583,846"
,2543967,Macerich Co/The,MAC,<0.01%,Retail REITs,US,---,"$146,938,064.00","8,073,520"
,2250289,Darling Ingredients Inc,DAR,<0.01%,Agricultural Products & Services,US,---,"$146,682,385.92","4,751,616"
,2493534,Kirby Corp,KEX,<0.01%,Marine Transportation,US,---,"$146,680,816.05","1,757,709"
,2691305,Brink's Co/The,BCO,<0.01%,Security & Alarm Services,US,---,"$146,179,355.98","1,250,893"
,B05MZT4,Celanese Corp,CE,<0.01%,Specialty Chemicals,US,---,"$145,528,630.40","3,458,380"
,BD6JX35,Krystal Biotech Inc,KRYS,<0.01%,Biotechnology,US,---,"$144,858,223.11","820,587"
,BGPZ5W8,Arcosa Inc,ACA,<0.01%,Construction & Engineering,US,---,"$144,760,396.70","1,544,770"
,BDG22J3,Valvoline Inc,VVV,<0.01%,Automotive Retail,US,---,"$144,364,986.99","4,020,189"
,BYQBFJ8,Arrowhead Pharmaceuticals Inc,ARWR,<0.01%,Biotechnology,US,---,"$143,998,233.28","4,175,072"
,BN70ZC0,BellRing Brands Inc,BRBR,<0.01%,Personal Care Products,US,---,"$143,993,000.55","3,961,293"
,2345022,Macy's Inc,M,<0.01%,Broadline Retail,US,---,"$143,988,783.51","8,030,607"
,BGK38H3,Axos Financial Inc,AX,<0.01%,Regional Banks,US,---,"$143,718,516.05","1,697,797"
,B1HMMS7,Spirit AeroSystems Holdings Inc,SPR,<0.01%,Aerospace & Defense,US,---,"$143,258,727.60","3,711,366"
,BYXJQG9,Spire Inc,SR,<0.01%,Gas Utilities,US,---,"$143,217,759.84","1,756,842"
,BPCJ1Q2,Arcellx Inc,ACLX,<0.01%,Biotechnology,US,---,"$142,992,174.30","1,741,683"
,BKM5C62,Option Care Health Inc,OPCH,<0.01%,Health Care Services,US,---,"$142,333,542.64","5,127,289"
,2787022,Cavco Industries Inc,CVCO,<0.01%,Homebuilding,US,---,"$142,077,917.42","244,654"
,2933438,Urban Outfitters Inc,URBN,<0.01%,Apparel Retail,US,---,"$140,991,391.20","1,973,840"
,BLFDXF6,StepStone Group Inc,STEP,<0.01%,Asset Management & Custody Banks,US,---,"$140,961,969.12","2,158,352"
,BFMBMT8,Sensata Technologies Holding PLC,ST,<0.01%,Electrical Components & Equipment,US,---,"$140,627,790.55","4,603,201"
,BYMWL19,Glaukos Corp,GKOS,<0.01%,Health Care Equipment,US,---,"$140,607,123.65","1,724,183"
,B5NLBP6,Sabra Health Care REIT Inc,SBRA,<0.01%,Health Care REITs,US,---,"$140,410,217.68","7,532,737"
,BMX6JW3,JFrog Ltd,FROG,<0.01%,Systems Software,US,---,"$140,328,338.36","2,964,892"
,BMQ8XV3,StoneX Group Inc,SNEX,<0.01%,Investment Banking & Brokerage,US,---,"$140,064,345.00","1,387,875"
,BJN4N02,Parsons Corp,PSN,<0.01%,Research & Consulting Services,US,---,"$139,847,813.88","1,686,539"
,BPW6WJ3,UL Solutions Inc,ULS,<0.01%,Research & Consulting Services,US,---,"$139,290,494.04","1,965,714"
,BVB3BV2,Box Inc,BOX,<0.01%,Application Software,US,---,"$139,272,027.72","4,315,836"
,BJTJGC4,Kontoor Brands Inc,KTB,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$139,219,709.28","1,745,264"
,BYRGSX7,Archrock Inc,AROC,<0.01%,Oil & Gas Equipment & Services,US,---,"$139,171,322.94","5,289,674"
,B8XXZP1,EPR Properties,EPR,<0.01%,Other Specialized REITs,US,---,"$139,136,346.89","2,398,489"
,2101741,Black Hills Corp,BKH,<0.01%,Multi-Utilities,US,---,"$138,792,695.46","2,253,494"
,B65SQW4,Enphase Energy Inc,ENPH,<0.01%,Semiconductor Materials & Equipment,US,---,"$138,715,351.80","3,919,620"
,BPLL4V5,Knife River Corp,KNF,<0.01%,Construction Materials,US,---,"$138,283,211.01","1,798,923"
,B04NJM9,Dolby Laboratories Inc,DLB,<0.01%,Systems Software,US,---,"$138,229,522.43","1,910,039"
,BSVLTM2,Everus Construction Group Inc,ECG,<0.01%,Construction & Engineering,US,---,"$137,651,130.75","1,605,261"
,2960384,Whirlpool Corp,WHR,<0.01%,Household Appliances,US,---,"$137,606,670.60","1,750,721"
,BQWS627,Sirius XM Holdings Inc,SIRI,<0.01%,Cable & Satellite,US,---,"$136,809,984.50","5,877,980"
,2066505,Avnet Inc,AVT,<0.01%,Technology Distributors,US,---,"$136,622,173.84","2,613,278"
,2718594,Dorman Products Inc,DORM,<0.01%,Automotive Parts & Equipment,US,---,"$135,733,912.92","870,759"
,BKM4KV0,Q2 Holdings Inc,QTWO,<0.01%,Application Software,US,---,"$135,674,713.41","1,874,219"
,BN48ZR2,Phillips Edison & Co Inc,PECO,<0.01%,Retail REITs,US,---,"$135,673,739.18","3,952,046"
,BSWYNW8,Waystar Holding Corp,WAY,<0.01%,Health Care Technology,US,---,"$135,402,081.60","3,570,730"
,BSS6HY8,Workiva Inc. Class A,WK,<0.01%,Application Software,US,---,"$135,033,523.84","1,568,698"
,B0T7Z62,Crocs Inc,CROX,<0.01%,Footwear,US,---,"$134,891,140.80","1,614,496"
,2821395,Sonoco Products Co,SON,<0.01%,Paper & Plastic Packaging Products & Materials,US,---,"$134,690,851.27","3,125,803"
,BPGKM57,SL Green Realty Corp,SLG,<0.01%,Office REITs,US,---,"$134,577,942.71","2,250,091"
,BF3FTF4,CNX Resources Corp,CNX,<0.01%,Oil & Gas Exploration & Production,US,---,"$134,556,750.68","4,189,189"
,B020GQ5,EnerSys,ENS,<0.01%,Electrical Components & Equipment,US,---,"$134,201,789.12","1,188,047"
,2503994,Landstar System Inc,LSTR,<0.01%,Cargo Ground Transportation,US,---,"$133,661,362.24","1,090,579"
,BF2GC59,Magnolia Oil & Gas Corp,MGY,<0.01%,Oil & Gas Exploration & Production,US,---,"$133,372,383.76","5,587,448"
,2144047,Mercury Systems Inc,MRCY,<0.01%,Aerospace & Defense,US,---,"$132,763,523.40","1,715,291"
,2328603,FMC Corp,FMC,<0.01%,Fertilizers & Agricultural Chemicals,US,---,"$132,677,210.52","3,945,204"
,BN770G0,Compass Inc,COMP,<0.01%,Real Estate Services,US,---,"$131,595,342.89","16,387,963"
,BL53QN5,Upstart Holdings Inc,UPST,<0.01%,Consumer Finance,US,---,"$131,544,212.40","2,589,453"
,2149309,Brunswick Corp/DE,BC,<0.01%,Leisure Products,US,---,"$131,452,055.28","2,078,622"
,BRCFZ51,MILLROSE PROPERTIES,MRP,<0.01%,Other Specialized REITs,US,---,"$130,210,450.38","3,874,158"
,2814005,Champion Homes Inc,SKY,<0.01%,Homebuilding,US,---,"$129,990,675.29","1,702,117"
,2266026,First Financial Bankshares Inc,FFIN,<0.01%,Regional Banks,US,---,"$129,349,388.60","3,843,964"
,2473138,Rayonier Inc,RYN,<0.01%,Timber REITs,US,---,"$129,310,364.28","4,872,282"
,BDCBCD8,Protagonist Therapeutics Inc,PTGX,<0.01%,Biotechnology,US,---,"$129,285,667.42","1,946,194"
,2568131,Silicon Laboratories Inc,SLAB,<0.01%,Semiconductors,US,---,"$129,217,468.95","985,415"
,BYNWB63,PJT Partners Inc,PJT,<0.01%,Investment Banking & Brokerage,US,---,"$129,198,335.28","726,936"
,2339252,White Mountains Insurance Group Ltd,WTM,<0.01%,Property & Casualty Insurance,US,---,"$129,022,957.28","77,189"
,2567655,MSC Industrial Direct Co Inc,MSM,<0.01%,Trading Companies & Distributors,US,---,"$128,799,649.66","1,397,869"
,BYQD1J6,CSW Industrials Inc,CSW,<0.01%,Building Products,US,---,"$128,543,407.50","529,530"
,2578293,Lennar Corp,LEN/B,<0.01%,Homebuilding,US,---,"$128,040,129.10","1,067,090"
,2055718,Associated Banc-Corp,ASB,<0.01%,Regional Banks,US,---,"$128,010,398.52","4,979,012"
,BMVBZD3,Nuvalent Inc,NUVL,<0.01%,Biotechnology,US,---,"$127,152,841.20","1,470,315"
,2162500,Cabot Corp,CBT,<0.01%,Commodity Chemicals,US,---,"$127,104,646.50","1,671,330"
,B3V9F12,PVH Corp,PVH,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$126,641,810.60","1,511,780"
,B15RZR4,Mueller Water Products Inc,MWA,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$126,637,283.52","4,962,276"
,BR1Z682,Core Natural Resources Inc,CNR,<0.01%,Coal & Consumable Fuels,US,---,"$126,277,608.12","1,512,669"
,2923741,Sensient Technologies Corp,SXT,<0.01%,Specialty Chemicals,US,---,"$125,971,945.65","1,342,269"
,2111579,OSI Systems Inc,OSIS,<0.01%,Electronic Equipment & Instruments,US,---,"$125,502,808.08","503,542"
,BYMYT66,Laureate Education Inc,LAUR,<0.01%,Education Services,US,---,"$125,256,505.16","3,971,354"
,BYQCZ35,Madison Square Garden Sports Corp,MSGS,<0.01%,Movies & Entertainment,US,---,"$125,222,507.00","551,641"
,BMH0MP5,ServisFirst Bancshares Inc,SFBS,<0.01%,Regional Banks,US,---,"$124,712,301.32","1,548,644"
,BKY83Q6,Oscar Health Inc,OSCR,<0.01%,Life & Health Insurance,US,---,"$124,494,015.78","6,576,546"
,B57VWJ3,SPS Commerce Inc,SPSC,<0.01%,Application Software,US,---,"$124,406,060.56","1,194,604"
,2692160,Plexus Corp,PLXS,<0.01%,Electronic Manufacturing Services,US,---,"$124,264,836.15","858,835"
,2977209,Texas Capital Bancshares Inc,TCBI,<0.01%,Regional Banks,US,---,"$123,261,138.82","1,458,194"
,BDD19F8,Crinetics Pharmaceuticals Inc,CRNX,<0.01%,Pharmaceuticals,US,---,"$123,225,481.75","2,958,595"
,BZBZ020,Herc Holdings Inc,HRI,<0.01%,Trading Companies & Distributors,US,---,"$122,797,365.94","1,052,609"
,BJDRX78,Cleanspark Inc,CLSK,<0.01%,Application Software,US,---,"$122,367,849.00","8,439,162"
,2004185,Abercrombie & Fitch Co,ANF,<0.01%,Apparel Retail,US,---,"$122,331,195.90","1,429,938"
,2246288,Federated Hermes Inc,FHI,<0.01%,Asset Management & Custody Banks,US,---,"$122,203,493.55","2,353,235"
,BNXK803,NuScale Power Corp,SMR,<0.01%,Heavy Electrical Equipment,US,---,"$122,066,496.00","3,390,736"
,B9HHD96,HA Sustainable Infrastructure Capital Inc,HASI,<0.01%,Specialized Finance,US,---,"$121,747,020.70","3,965,701"
,2158781,Cal-Maine Foods Inc,CALM,<0.01%,Packaged Foods & Meats,US,---,"$121,719,385.10","1,293,511"
,2243911,International Bancshares Corp,IBOC,<0.01%,Regional Banks,US,---,"$121,646,937.50","1,769,410"
,BT6MM39,Flagstar Financial Inc,FLG,<0.01%,Regional Banks,US,---,"$120,971,073.30","10,473,686"
,2814210,SkyWest Inc,SKYW,<0.01%,Passenger Airlines,US,---,"$120,872,089.26","1,201,273"
,BVYJBR3,Zillow Group Inc,ZG,<0.01%,Real Estate Services,US,---,"$120,717,635.88","1,621,677"
,2611206,Murphy Oil Corp,MUR,<0.01%,Oil & Gas Exploration & Production,US,---,"$120,621,757.50","4,245,750"
